input_id	input_desc	target_desc	target_id
11291	onions, spring or scallions (includes tops and bulb), raw	onions, spring or scallions (includes tops and bulb), raw	11291
23578	beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled	beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled	23578
23573	beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled	beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled	23573
23568	beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled	beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled	23568
23563	beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled	beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled	23563
9094	figs, dried, uncooked	figs, dried, uncooked	9094
11819	peppers, hot chili, red, raw	peppers, hot chili, red, raw	11819
11979	peppers, jalapeno, raw	peppers, jalapeno, raw	11979
7057	pepperoni, beef and pork, sliced	pepperoni, pork, beef	7057
19056	snacks, tortilla chips, plain, white corn, salted	snacks, tortilla chips, plain, white corn	19056
11052	beans, snap, green, raw	beans, snap, green, raw	11052
12201	seeds, sesame seed kernels, dried (decorticated)	seeds, sesame seed kernels, dried (decorticated)	12201
2031	spices, pepper, red or cayenne	spices, pepper, red or cayenne	2031
16123	soy sauce made from soy and wheat (shoyu)	soy sauce made from soy and wheat (shoyu)	16123
2053	vinegar, distilled	vinegar, distilled	2053
4636	salad dressing, italian dressing, fat-free	salad dressing, italian dressing, fat-free	4636
43100	breakfast bars, oats, sugar, raisins, coconut (include granola bar)	breakfast bars, oats, sugar, raisins, coconut (include granola bar)	43100
13355	beef, cured, pastrami	beef, cured, pastrami	13355
18159	cookies, chocolate chip, commercially prepared, regular, higher fat, enriched	cookies, chocolate chip, commercially prepared, regular, higher fat, enriched	18159
19263	frozen novelties, fruit and juice bars	frozen novelties, fruit and juice bars	19263
43346	frozen novelties, juice type, orange	frozen novelties, juice type, orange	43346
19335	sugars, granulated	sugars, granulated	19335
22959	macaroni and cheese dinner with dry sauce mix, boxed, uncooked	macaroni and cheese dinner with dry sauce mix, boxed, uncooked	22959
14411	beverages, water, tap, drinking	water, tap, drinking	14411
11333	peppers, sweet, green, raw	peppers, sweet, green, raw	11333
11644	squash, winter, all varieties, cooked, baked, without salt	squash, winter, all varieties, cooked, baked, without salt	11644
8020	cereals ready-to-eat, kellogg, kellogg's corn flakes	cereals ready-to-eat, kellogg, kellogg's corn flakes	8020
12063	nuts, almonds, dry roasted, without salt added	nuts, almonds, dry roasted, without salt added	12063
7064	pork sausage, link/patty, cooked, pan-fried	pork sausage, fresh, cooked	7064
11167	corn, sweet, yellow, raw	corn, sweet, yellow, raw	11167
19833	snacks, tortilla chips, low fat, unsalted	snacks, tortilla chips, low fat, unsalted	19833
18350	rolls, hamburger or hotdog, plain	rolls, hamburger or hotdog, plain	18350
13317	beef, ground, patties, frozen, cooked, broiled	beef, ground, patties, frozen, cooked, broiled	13317
19415	snacks, potato sticks	snacks, potato sticks	19415
14355	beverages, tea, black, brewed, prepared with tap water	tea, black, brewed, prepared with tap water	14355
19411	snacks, potato chips, plain, salted	snacks, potato chips, plain, salted	19411
4025	salad dressing, mayonnaise, regular	salad dressing, mayonnaise, soybean oil, with salt	4025
2029	spices, parsley, dried	spices, parsley, dried	2029
1123	egg, whole, raw, fresh	egg, whole, raw, fresh	1123
11061	beans, snap, green, frozen, cooked, boiled, drained without salt	beans, snap, green, frozen, cooked, boiled, drained without salt	11061
25033	snacks, granola bar, kashi tlc bar, chewy, mixed flavors	snacks, granola bar, kashi tlc bar, chewy, mixed flavors	25033
8120	cereals, oats, regular and quick, not fortified, dry	cereals, oats, regular and quick, not fortified, dry	8120
8144	cereals, whole wheat hot natural cereal, dry	cereals, whole wheat hot natural cereal, dry	8144
20037	rice, brown, long-grain, cooked (includes foods for usda's food distribution program)	rice, brown, long-grain, cooked	20037
11464	spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt	spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt	11464
8272	cereals ready-to-eat, general mills, cinnamon toast crunch	cereals ready-to-eat, general mills, cinnamon toast crunch	8272
16015	beans, black, mature seeds, cooked, boiled, without salt	beans, black, mature seeds, cooked, boiled, without salt	16015
42283	snacks, potato chips, white, restructured, baked	snacks, potato chips, white, restructured, baked	42283
20045	rice, white, long-grain, regular, enriched, cooked	rice, white, long-grain, regular, cooked	20045
12085	nuts, cashew nuts, dry roasted, without salt added	nuts, cashew nuts, dry roasted, without salt added	12085
12078	nuts, brazilnuts, dried, unblanched	nuts, brazilnuts, dried, unblanched	12078
12120	nuts, hazelnuts or filberts	nuts, hazelnuts or filberts	12120
12142	nuts, pecans	nuts, pecans	12142
12152	nuts, pistachio nuts, dry roasted, without salt added	nuts, pistachio nuts, dry roasted, without salt added	12152
12155	nuts, walnuts, english	nuts, walnuts, english	12155
25038	snacks, granola bars, soft, almond, confectioners coating	snacks, granola bars, soft, almond, confectioners coating	25038
6150	sauce, barbecue	sauce, barbecue	6150
9054	blueberries, frozen, unsweetened (includes foods for usda's food distribution program)	blueberries, frozen, unsweetened	9054
9040	bananas, raw	bananas, raw	9040
25017	formulated bar, power bar, chocolate	formulated bar, power bar, chocolate	25017
8122	cereals, oats, instant, fortified, plain, dry	cereals, oats, instant, fortified, plain, dry	8122
6194	soup, chicken broth, ready-to-serve	soup, chicken broth, canned, ready-to-serve	6194
