input_id	input_desc
11291	onions, spring or scallions (includes tops and bulb), raw
23578	beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled
23573	beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled
23568	beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled
23563	beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled
9094	figs, dried, uncooked
11819	peppers, hot chili, red, raw
11979	peppers, jalapeno, raw
7057	pepperoni, beef and pork, sliced
19056	snacks, tortilla chips, plain, white corn, salted
11052	beans, snap, green, raw
12201	seeds, sesame seed kernels, dried (decorticated)
2031	spices, pepper, red or cayenne
16123	soy sauce made from soy and wheat (shoyu)
2053	vinegar, distilled
4636	salad dressing, italian dressing, fat-free
43100	breakfast bars, oats, sugar, raisins, coconut (include granola bar)
13355	beef, cured, pastrami
18159	cookies, chocolate chip, commercially prepared, regular, higher fat, enriched
19263	frozen novelties, fruit and juice bars
43346	frozen novelties, juice type, orange
19335	sugars, granulated
22959	macaroni and cheese dinner with dry sauce mix, boxed, uncooked
14411	beverages, water, tap, drinking
11333	peppers, sweet, green, raw
11644	squash, winter, all varieties, cooked, baked, without salt
8020	cereals ready-to-eat, kellogg, kellogg's corn flakes
12063	nuts, almonds, dry roasted, without salt added
7064	pork sausage, link/patty, cooked, pan-fried
11167	corn, sweet, yellow, raw
19833	snacks, tortilla chips, low fat, unsalted
18350	rolls, hamburger or hotdog, plain
13317	beef, ground, patties, frozen, cooked, broiled
19415	snacks, potato sticks
14355	beverages, tea, black, brewed, prepared with tap water
19411	snacks, potato chips, plain, salted
4025	salad dressing, mayonnaise, regular
2029	spices, parsley, dried
1123	egg, whole, raw, fresh
11061	beans, snap, green, frozen, cooked, boiled, drained without salt
25033	snacks, granola bar, kashi tlc bar, chewy, mixed flavors
8120	cereals, oats, regular and quick, not fortified, dry
8144	cereals, whole wheat hot natural cereal, dry
20037	rice, brown, long-grain, cooked (includes foods for usda's food distribution program)
11464	spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt
8272	cereals ready-to-eat, general mills, cinnamon toast crunch
16015	beans, black, mature seeds, cooked, boiled, without salt
42283	snacks, potato chips, white, restructured, baked
20045	rice, white, long-grain, regular, enriched, cooked
12085	nuts, cashew nuts, dry roasted, without salt added
12078	nuts, brazilnuts, dried, unblanched
12120	nuts, hazelnuts or filberts
12142	nuts, pecans
12152	nuts, pistachio nuts, dry roasted, without salt added
12155	nuts, walnuts, english
25038	snacks, granola bars, soft, almond, confectioners coating
6150	sauce, barbecue
9054	blueberries, frozen, unsweetened (includes foods for usda's food distribution program)
9040	bananas, raw
25017	formulated bar, power bar, chocolate
8122	cereals, oats, instant, fortified, plain, dry
6194	soup, chicken broth, ready-to-serve
11282	onions, raw
11124	carrots, raw
11297	parsley, fresh
20109	noodles, egg, dry, enriched
11174	corn, sweet, yellow, canned, cream style, regular pack
20121	pasta, cooked, enriched, without added salt
6931	sauce, pasta, spaghetti/marinara, ready-to-serve
11584	vegetables, mixed, frozen, cooked, boiled, drained, without salt
1164	cheese sauce, prepared from recipe
4615	shortening, vegetable, household, composite
18375	leavening agents, yeast, baker's, active dry
20080	wheat flour, whole-grain (includes foods for usda's food distribution program)
42259	snacks, popcorn, home-prepared, oil-popped, unsalted
7083	sausage, vienna, canned, chicken, beef, pork
11531	tomatoes, red, ripe, canned, packed in tomato juice
20029	couscous, cooked
11477	squash, summer, zucchini, includes skin, raw
11467	squash, summer, crookneck and straightneck, raw
18364	tortillas, ready-to-bake or -fry, flour, refrigerated
6164	sauce, salsa, ready-to-serve
6119	gravy, chicken, canned or bottled, ready-to-serve
18141	cake, yellow, commercially prepared, with vanilla frosting
11549	tomato products, canned, sauce
14429	beverages, water, tap, municipal
19360	syrups, table blends, pancake, with 2% maple
20055	rice, white, glutinous, unenriched, cooked
11446	seaweed, laver, raw
9037	avocados, raw, all commercial varieties
11205	cucumber, with peel, raw
11674	potatoes, baked, flesh and skin, without salt
6169	sauce, ready-to-serve, pepper, tabasco
43205	beverage, instant breakfast powder, chocolate, not reconstituted
18142	cake, pudding-type, yellow, dry mix
8031	cereals ready-to-eat, kellogg's frosted mini-wheats, big bite
1029	cheese, mozzarella, low moisture, part-skim
18069	bread, white, commercially prepared (includes soft bread crumbs)
16043	beans, pinto, mature seeds, cooked, boiled, without salt
14645	beverages, fruit flavored drink, less than 3% juice, not fortified with vitamin c
6043	soup, cream of mushroom, canned, condensed
9316	strawberries, raw
9050	blueberries, raw
42204	rice cake, cracker (include hain mini rice cakes)
4659	oil, industrial, coconut, confection fat, typical basis for ice cream coatings
18235	crackers, whole-wheat
18232	crackers, wheat, regular
11529	tomatoes, red, ripe, raw, year round average
20044	rice, white, long-grain, regular, raw, enriched
2010	spices, cinnamon, ground
19336	sugars, powdered
18228	crackers, saltines (includes oyster, soda, soup)
18042	bread, pita, whole-wheat
11569	turnip greens, cooked, boiled, drained, without salt
11023	balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt
15138	crustaceans, crab, alaska king, imitation, made from surimi
20134	rice noodles, cooked
19095	ice creams, vanilla
11008	artichokes, (globe or french), cooked, boiled, drained, without salt
21225	pizza, cheese topping, rising crust, frozen, cooked
11663	seaweed, agar, dried
11667	seaweed, spirulina, dried
20022	cornmeal, degermed, enriched, yellow
42187	frozen yogurts, flavors other than chocolate
11260	mushrooms, white, raw
14210	beverages, coffee, brewed, espresso, restaurant-prepared
4518	oil, corn, industrial and retail, all purpose salad or cooking
11233	kale, raw
11363	potatoes, baked, flesh, without salt
1211	milk, whole, 3.25% milkfat, without added vitamin a and vitamin d
4542	fat, chicken
20481	wheat flour, white, all-purpose, unenriched
20110	noodles, egg, enriched, cooked
18075	bread, whole-wheat, commercially prepared
19270	ice creams, chocolate
11109	cabbage, raw
18216	crackers, crispbread, rye
11080	beets, raw
11086	beet greens, raw
19088	ice creams, vanilla, light
19260	ice creams, vanilla, light, no sugar added
19047	snacks, pretzels, hard, plain, salted
18271	ice cream cones, cake or wafer-type
11172	corn, sweet, yellow, canned, whole kernel, drained solids
22900	ravioli, meat-filled, with tomato sauce or meat sauce, canned
16063	cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, without salt
11493	squash, winter, spaghetti, cooked, boiled, drained, or baked, without salt
14381	beverages, tea, herb, other than chamomile, brewed
11011	asparagus, raw
21299	fast food, pizza chain, 14" pizza, cheese topping, regular crust
11283	onions, cooked, boiled, drained, without salt
11334	peppers, sweet, green, cooked, boiled, drained, without salt
11261	mushrooms, white, cooked, boiled, drained, without salt
9193	olives, ripe, canned (small-extra large)
12037	seeds, sunflower seed kernels, dry roasted, without salt
25013	snacks, fritolay, sunchips, multigrain snack, original flavor
10862	pork, cured, bacon, pre-sliced, cooked, pan-fried
14196	beverages, cocoa mix, no sugar added, powder
18950	crackers, wheat, reduced fat
8028	cereals ready-to-eat, kellogg, kellogg's all-bran complete wheat flakes
6075	soup, beef broth or bouillon, powder, dry
20027	cornstarch
42136	cream substitute, powdered, light
7070	salami, cooked, turkey
6976	sauce, pasta, spaghetti/marinara, ready-to-serve, low sodium
11378	potatoes, mashed, dehydrated, flakes without milk, dry form
6112	sauce, teriyaki, ready-to-serve
21130	fast foods, onion rings, breaded and fried
11296	onion rings, breaded, par fried, frozen, prepared, heated in oven
8148	cereals ready-to-eat, post, shredded wheat, original spoon-size
16081	mung beans, mature seeds, cooked, boiled, without salt
20030	hominy, canned, white
1082	milk, lowfat, fluid, 1% milkfat, with added vitamin a and vitamin d
14557	beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients
15027	fish, fish sticks, frozen, prepared
18157	cookies, chocolate wafers
2028	spices, paprika
27047	sauce, salsa, verde, ready-to-serve
6116	gravy, beef, canned, ready-to-serve
4021	salad dressing, italian dressing, commercial, reduced fat
16117	soy flour, defatted
12061	nuts, almonds
16087	peanuts, all types, raw
9079	cranberries, dried, sweetened (includes foods for usda's food distribution program)
20061	rice flour, white, unenriched
18272	ice cream cones, sugar, rolled-type
19348	syrups, chocolate, fudge-type
16090	peanuts, all types, dry-roasted, with salt
18347	rolls, dinner, wheat
16041	beans, pink, mature seeds, cooked, boiled, without salt
8090	cereals, corn grits, white, regular and quick, enriched, dry
19009	snacks, kraft, cornnuts, plain
