target_desc	target_id
kiwi	29
onion	53
chives	55
cashew	70
pineapple	74
dill	83
custard apple	92
celery	96
groundnut	101
burdock	104
horseradish	115
tarragon	123
mugwort	127
asparagus	137
oats	144
carambola	1207
brazilnut	156
beebread	166
mustard greens	171
brussel-sprout	175
kohlrabi	180
asparagus broccoli	2255
pigeonpea	193
tea	198
caper	205
bell pepper	207
papaya	209
safflower	210
caraway	211
garden camomile	246
chickpea	258
endive	259
chicory	260
canela de la china (sp.)	265
ceylon cinnamon	269
watermelon	274
lime	275
lemon	279
mandarin	281
orange	282
coffee	289
chinese parsley	308
cobnut	314
saffron	318
cantaloupe	324
cucumber	325
summer squash	328
cumin	329
indian saffron	331
quince	336
lemongrass	337
carrot	357
cardamom	377
loquat	386
achnef (berber; bou)	2382
buckwheat	411
echte feige (ger.)	417
fennel	420
soybean	449
girasol	466
sallow thorn	1149
barley	477
swamp cabbage	500
sweet potato	501
black walnut	513
english walnut	514
lettuce	534
bay	543
lentil	549
garden cress	556
lovage	557
flax	561
apple	595
mango	600
balm	612
hortela da folha miuda	618
peppermint	619
bitter melon	631
mace	649
basil	667
evening-primrose	672
olive	673
marjoram	678
common turkish oregano	2085
rice	682
maracuya	1243
parsnip	702
avocado	710
parsley	712
scarlet runner bean	717
butter bean	718
black bean	719
date palm	721
anise	742
black pepper	755
pistachio	758
pea	759
purslane	783
apricot	787
sour cherry	788
plum	789
almond	790
peach	792
guava	796
granado (sp.)	807
pear	826
radish	839
rhubarb	847
black currant	858
red currant	859
gooseberry	860
berro	656
rosemary	873
raspberry	878
garden sorrel	879
sage	888
black elder	892
summer savory	903
rye	1100
ajonjoli (sp.)	928
tomato	576
aubergine	942
potato	945
spinach	957
clove	986
indian tamarind	992
dandelion	995
cacao	1010
common thyme	1016
basswood	1017
alholva (sp.)	1023
wheat	1025
blueberry	1038
american cranberry	1039
bilberry	1040
broadbean	1054
adzuki bean	1056
black gram	1057
green gram	1058
european grape	1068
corn	1077
ginger	1078
beet	157
pumpkin	326
allspice	740
pigweed	63
arrowroot	602
breadfruit	128
breadnut	1216
butterbur	711
butternut	512
calabash gourd	537
carob	244
cassava	601
chayote	921
cherimoya	90
chervil	95
water chestnut	1308
garland chrysanthemum	256
coconut	288
corn salad	1043
cotton	452
durian	1224
european chestnut	220
ginkgo	442
ben nut	1435
bonavist bean	531
irish moss	253
jackfruit	129
aceituna dulce	1262
jerusalem artichoke	467
jew's mallow	307
lambsquarter	249
elephant garlic	52
water lotus	657
white lupine	573
vinespinach	152
mamey	1235
mangosteen	1228
mat bean	1055
mountain yam	366
white mustard	935
new zealand spinach	1005
okra	1
cayenne	208
american persimmon	368
pinyon pine	1968
pitanga	1226
banana	645
pokeweed	730
opium poppy	697
breadroot	799
pomarrosa	1263
acedera de guinea (sp.)	474
salsify	1019
sapodilla	1236
soursop	91
spirulina	2202
strawberry guava	795
sugar-apple	93
taro	297
tomatillo	727
luffa	572
waxgourd	154
asparagus pea	797
wild yam	367
yambean	686
malanga	1072
black-eyed pea	2306
macadamia	587
asparagus bean	1060
brazillian guava	1227
butterseed	2181
ucahuba	1095
nance	1217
garlic	54
cabbage	176
cabbage, savoy, raw	674
kiwi fruit, raw	465
kiwifruit, green, raw	9148
kiwifruit, gold, raw	9445
onion, raw	148
onions, chopped and deepfried	830
onions, chopped, frozen	662
onions, spring, raw	663
spices, onion powder	2026
onions, raw	11282
onions, cooked, boiled, drained, without salt	11283
onions, dehydrated flakes	11284
onions, canned, solids and liquids	11285
onions, yellow, sauteed	11286
onions, frozen, chopped, unprepared	11287
onions, frozen, chopped, cooked, boiled, drained, without salt	11288
onions, frozen, whole, unprepared	11289
onions, frozen, whole, cooked, boiled, drained, without salt	11290
onions, spring or scallions (includes tops and bulb), raw	11291
onions, young green, tops only	11292
onions, sweet, raw	11294
onion rings, breaded, par fried, frozen, unprepared	11295
onion rings, breaded, par fried, frozen, prepared, heated in oven	11296
onions, cooked, boiled, drained, with salt	11805
onions, frozen, chopped, cooked, boiled, drained, with salt	11806
onions, frozen, whole, cooked, boiled, drained, with salt	11807
fast foods, onion rings, breaded and fried	21130
leek, raw	212
garlic, dried, powder	90
garlic, raw	89
spices, garlic powder	2020
chives, raw	213
chives, freeze-dried	11615
cashew nuts, dry roasted	649
cashew nuts, oil roasted	650
nuts, cashew nuts, dry roasted, without salt added	12085
nuts, cashew nuts, oil roasted, without salt added	12086
nuts, cashew nuts, raw	12087
nuts, cashew butter, plain, without salt added	12088
nuts, cashew nuts, dry roasted, with salt added	12585
nuts, cashew nuts, oil roasted, with salt added	12586
nuts, cashew butter, plain, with salt added	12588
pineapple juice, canned	833
pineapple, canned	4
pineapple, raw	3
pineapple, raw, all varieties	9266
pineapple, canned, water pack, solids and liquids	9267
pineapple, canned, juice pack, solids and liquids	9268
pineapple, canned, light syrup pack, solids and liquids	9269
pineapple, canned, heavy syrup pack, solids and liquids	9270
pineapple, canned, extra heavy syrup pack, solids and liquids	9271
pineapple, frozen, chunks, sweetened	9272
pineapple juice, canned, unsweetened, without added ascorbic acid	9273
pineapple juice, frozen concentrate, unsweetened, undiluted	9274
pineapple juice, frozen concentrate, unsweetened, diluted with 3 volume water	9275
pineapple, canned, juice pack, drained	9354
